PA01,Valle, Inactivo,PRO01,CA01
PA02,Santa Ana,Activo,PRO02,CA02
PA03,Santa Ana,Activo,PRO03,CA03
PA04,Santa Rosa, Inactivo,PRO04,CA04
PA05,Santa Rosa,Activo,PRO05,CA05
PA06,La Libertad,Activo,PRO06,CA06
PA07,Valle, Inactivo,PRO07,CA07
PA08,Santa Rosa,Activo,PRO08,CA08
PA09,Santa Rosa,Activo,PRO09,CA09
PA10,Santa Rosa, Inactivo,PRO10,CA10
PA11,Valle,Activo,PRO11,CA11
PA12,Valle,Activo,PRO12,CA12
PA13,La Libertad,Activo,PRO13,CA13
PA14,La Libertad, Inactivo,PRO14,CA14
PA15,La Libertad, Inactivo,PRO15,CA15
PA16,San Isidro,Activo,PRO16,CA16
PA17,La Libertad, Inactivo,PRO17,CA17
PA18,San Isidro,Activo,PRO18,CA18
PA19,La Libertad, Inactivo,PRO19,CA19
PA20,La Libertad, Inactivo,PRO20,CA20
PA21,La Libertad, Inactivo,PRO21,CA21
PA22,Santa Ana, Inactivo,PRO22,CA22
PA23,Santa Ana, Inactivo,PRO23,CA23
PA24,La Libertad,Activo,PRO24,CA24
PA25,Santa Rosa, Inactivo,PRO25,CA25
PA26,Valle,Activo,PRO26,CA26
PA27,Valle,Activo,PRO27,CA27
PA28,Tambo, Inactivo,PRO28,CA28
PA29,La Libertad,Activo,PRO29,CA29
PA30,La Libertad, Inactivo,PRO30,CA30
PA31,San Isidro, Inactivo,PRO31,CA31
PA32,Tambo, Inactivo,PRO32,CA32
PA33,Tambo, Inactivo,PRO33,CA33
PA34,San Isidro, Inactivo,PRO34,CA34
PA35,Santa Ana,Activo,PRO35,CA35
PA36,La Libertad,Activo,PRO36,CA36
PA37,La Libertad,Activo,PRO37,CA37
PA38,La Libertad,Activo,PRO38,CA38
PA39,Santa Ana,Activo,PRO39,CA39
PA40,La Libertad,Activo,PRO40,CA40
PA41,Santa Ana,Activo,PRO41,CA41
PA42,San Isidro,Activo,PRO42,CA42
PA43,La Libertad,Activo,PRO43,CA43
PA44,La Libertad,Activo,PRO44,CA44
PA45,Valle, Inactivo,PRO45,CA45
PA46,Valle,Activo,PRO46,CA46
PA47,San Isidro,Activo,PRO47,CA47
PA48,San Isidro, Inactivo,PRO48,CA48
PA49,La Libertad, Inactivo,PRO49,CA49
PA50,La Libertad,Activo,PRO50,CA50
PA51,Santa Ana,Activo,PRO51,CA51
PA52,Valle, Inactivo,PRO52,CA52
PA53,La Libertad,Activo,PRO53,CA53
PA54,Santa Ana,Activo,PRO54,CA54
PA55,Santa Ana, Inactivo,PRO55,CA55
PA56,San Isidro, Inactivo,PRO56,CA56
PA57,Valle,Activo,PRO57,CA57
PA58,Valle, Inactivo,PRO58,CA58
PA59,San Isidro, Inactivo,PRO59,CA59
PA60,Valle,Activo,PRO60,CA60
PA61,San Isidro,Activo,PRO61,CA61
PA62,Santa Ana,Activo,PRO62,CA62
PA63,Santa Rosa,Activo,PRO63,CA63
PA64,Valle,Activo,PRO64,CA64
PA65,Tambo, Inactivo,PRO65,CA65
PA66,Valle,Activo,PRO66,CA66
PA67,San Isidro, Inactivo,PRO67,CA67
PA68,La Libertad, Inactivo,PRO68,CA68
PA69,Santa Ana,Activo,PRO69,CA69
PA70,Santa Rosa,Activo,PRO70,CA70
PA71,Valle, Inactivo,PRO71,CA71
PA72,San Isidro, Inactivo,PRO72,CA72
PA73,San Isidro,Activo,PRO73,CA73
PA74,La Libertad, Inactivo,PRO74,CA74
PA75,La Libertad, Inactivo,PRO75,CA75
PA76,Santa Ana,Activo,PRO76,CA76
PA77,San Isidro, Inactivo,PRO77,CA77
PA78,Valle,Activo,PRO78,CA78
PA79,San Isidro, Inactivo,PRO79,CA79
PA80,San Isidro,Activo,PRO80,CA80
PA81,Valle,Activo,PRO81,CA81
PA82,Tambo,Activo,PRO82,CA82
PA83,San Isidro,Activo,PRO83,CA83
PA84,Valle, Inactivo,PRO84,CA84
PA85,Tambo, Inactivo,PRO85,CA85
PA86,Tambo,Activo,PRO86,CA86
PA87,Santa Rosa,Activo,PRO87,CA87
PA88,San Isidro,Activo,PRO88,CA88
PA89,San Isidro,Activo,PRO89,CA89
PA90,Santa Rosa, Inactivo,PRO90,CA90
PA91,Valle,Activo,PRO91,CA91
PA92,Valle,Activo,PRO92,CA92
PA93,La Libertad, Inactivo,PRO93,CA93
PA94,Santa Ana, Inactivo,PRO94,CA94
PA95,La Libertad,Activo,PRO95,CA95
PA96,Valle, Inactivo,PRO96,CA96
PA97,Santa Ana,Activo,PRO97,CA97
PA98,Santa Ana,Activo,PRO98,CA98
PA99,La Libertad, Inactivo,PRO99,CA99
PA100,Santa Ana, Inactivo,PRO100,CA100
PA101,La Libertad, Inactivo,PRO101,CA101
PA102,Tambo,Activo,PRO102,CA102
PA103,Valle,Activo,PRO103,CA103
PA104,La Libertad,Activo,PRO104,CA104
PA105,San Isidro,Activo,PRO105,CA105
PA106,Santa Rosa, Inactivo,PRO106,CA106
PA107,Santa Ana,Activo,PRO107,CA107
PA108,Valle,Activo,PRO108,CA108
PA109,Santa Rosa,Activo,PRO109,CA109
PA110,Valle,Activo,PRO110,CA110
PA111,Tambo, Inactivo,PRO111,CA111
PA112,San Isidro,Activo,PRO112,CA112
PA113,Valle, Inactivo,PRO113,CA113
PA114,Santa Rosa, Inactivo,PRO114,CA114
PA115,San Isidro,Activo,PRO115,CA115
PA116,Santa Ana, Inactivo,PRO116,CA116
PA117,Tambo,Activo,PRO117,CA117
PA118,Santa Rosa, Inactivo,PRO118,CA118
PA119,Santa Ana, Inactivo,PRO119,CA119
PA120,San Isidro,Activo,PRO120,CA120
PA121,Tambo,Activo,PRO121,CA121
PA122,San Isidro,Activo,PRO122,CA122
PA123,San Isidro, Inactivo,PRO123,CA123
PA124,Tambo, Inactivo,PRO124,CA124
PA125,Santa Ana, Inactivo,PRO125,CA125
