PRO01,Orellana,Inactivo
PRO02,Morona,Inactivo
PRO03,Esmeraldas,Inactivo
PRO04,Azuay,Inactivo
PRO05,Tungurahua,Inactivo
PRO06,Napo,Activo
PRO07,Carchi,Inactivo
PRO08,Loja,Activo
PRO09,SantoDomingo,Inactivo
PRO10,Loja,Activo
PRO11,Morona,Activo
PRO12,Galapagos,Inactivo
PRO13,SantaElena,Inactivo
PRO14,Pichincha,Inactivo
PRO15,SantoDomingo,Activo
PRO16,Cañar,Activo
PRO17,Loja,Inactivo
PRO18,Bolivar,Inactivo
PRO19,Napo,Activo
PRO20,Bolivar,Inactivo
PRO21,Zamora,Inactivo
PRO22,Zamora,Inactivo
PRO23,Imbabura,Activo
PRO24,Napo,Activo
PRO25,Pichincha,Activo
PRO26,Loja,Activo
PRO27,Morona,Activo
PRO28,Esmeraldas,Inactivo
PRO29,Orellana,Inactivo
PRO30,Cañar,Activo
PRO31,Guayas,Inactivo
PRO32,Cañar,Inactivo
PRO33,Imbabura,Activo
PRO34,Zamora,Inactivo
PRO35,Los Rios,Inactivo
PRO36,Cotopaxi,Inactivo
PRO37,Esmeraldas,Activo
PRO38,Carchi,Inactivo
PRO39,Carchi,Inactivo
PRO40,Loja,Activo
PRO41,SantaElena,Activo
PRO42,Los Rios,Activo
PRO43,Imbabura,Inactivo
PRO44,Imbabura,Activo
PRO45,Carchi,Activo
PRO46,Pichincha,Activo
PRO47,Esmeraldas,Inactivo
PRO48,Bolivar,Inactivo
PRO49,Zamora,Inactivo
PRO50,Los Rios,Activo
PRO51,Bolivar,Activo
PRO52,Loja,Inactivo
PRO53,Galapagos,Inactivo
PRO54,Manabi,Inactivo
PRO55,Bolivar,Activo
PRO56,Chimborazo,Activo
PRO57,Tungurahua,Inactivo
PRO58,Guayas,Inactivo
PRO59,SantaElena,Activo
PRO60,Pichincha,Inactivo
PRO61,Los Rios,Inactivo
PRO62,Cañar,Inactivo
PRO63,Galapagos,Activo
PRO64,Esmeraldas,Activo
PRO65,Cañar,Inactivo
PRO66,SantoDomingo,Inactivo
PRO67,SantaElena,Inactivo
PRO68,Loja,Activo
PRO69,Cañar,Activo
PRO70,Loja,Inactivo
PRO71,SantoDomingo,Activo
PRO72,SantaElena,Inactivo
PRO73,Imbabura,Activo
PRO74,Zamora,Inactivo
PRO75,Napo,Inactivo
PRO76,Esmeraldas,Inactivo
PRO77,Loja,Inactivo
PRO78,Napo,Inactivo
PRO79,Esmeraldas,Inactivo
PRO80,Orellana,Inactivo
PRO81,Pichincha,Activo
PRO82,Loja,Inactivo
PRO83,El Oro,Activo
PRO84,Imbabura,Inactivo
PRO85,Galapagos,Activo
PRO86,Zamora,Inactivo
PRO87,Los Rios,Inactivo
PRO88,Manabi,Inactivo
PRO89,Morona,Inactivo
PRO90,Loja,Inactivo
PRO91,Bolivar,Inactivo
PRO92,Guayas,Inactivo
PRO93,SantaElena,Inactivo
PRO94,Napo,Inactivo
PRO95,Guayas,Inactivo
PRO96,Guayas,Activo
PRO97,Napo,Activo
PRO98,Morona,Inactivo
PRO99,Napo,Inactivo
PRO100,Morona,Activo
PRO101,Guayas,Activo
PRO102,Carchi,Inactivo
PRO103,Zamora,Inactivo
PRO104,Esmeraldas,Activo
PRO105,Esmeraldas,Activo
PRO106,Loja,Activo
PRO107,SantaElena,Activo
PRO108,Zamora,Activo
PRO109,Loja,Inactivo
PRO110,Sucumbios,Inactivo
PRO111,Bolivar,Inactivo
PRO112,Loja,Activo
PRO113,Manabi,Inactivo
PRO114,Napo,Inactivo
PRO115,Bolivar,Inactivo
PRO116,Zamora,Activo
PRO117,Tungurahua,Inactivo
PRO118,Pichincha,Activo
PRO119,Tungurahua,Inactivo
PRO120,Imbabura,Inactivo
PRO121,SantaElena,Inactivo
PRO122,SantaElena,Inactivo
PRO123,Los Rios,Activo
PRO124,Carchi,Activo
PRO125,Imbabura,Inactivo
PRO126,Pastaza,Activo
PRO127,Chimborazo,Activo
PRO128,Loja,Inactivo
PRO129,Pastaza,Activo
PRO130,Carchi,Inactivo
PRO131,Pichincha,Activo
PRO132,Chimborazo,Inactivo
PRO133,Napo,Activo
PRO134,Pichincha,Inactivo
PRO135,Pichincha,Activo
PRO136,Morona,Inactivo
PRO137,Pichincha,Activo
PRO138,Los Rios,Activo
PRO139,Esmeraldas,Activo
PRO140,Pichincha,Activo
PRO141,Azuay,Activo
PRO142,SantaElena,Inactivo
PRO143,SantoDomingo,Inactivo
PRO144,Galapagos,Inactivo
PRO145,Loja,Inactivo
PRO146,Chimborazo,Inactivo
PRO147,Imbabura,Activo
PRO148,Pastaza,Activo
PRO149,Chimborazo,Inactivo
PRO150,Morona,Inactivo
PRO151,Galapagos,Activo
PRO152,Orellana,Activo
PRO153,SantoDomingo,Inactivo
PRO154,Napo,Activo
PRO155,Morona,Inactivo
PRO156,Pichincha,Activo
PRO157,Carchi,Inactivo
PRO158,Zamora,Inactivo
PRO159,Cañar,Activo
PRO160,Chimborazo,Inactivo
PRO161,Zamora,Activo
PRO162,SantaElena,Inactivo
PRO163,Zamora,Inactivo
PRO164,Imbabura,Inactivo
PRO165,Galapagos,Activo
PRO166,Napo,Activo
PRO167,Carchi,Activo
PRO168,Esmeraldas,Inactivo
PRO169,Galapagos,Activo
PRO170,Pichincha,Activo
PRO171,Morona,Inactivo
PRO172,Orellana,Activo
PRO173,Pichincha,Activo
PRO174,Esmeraldas,Inactivo
PRO175,Sucumbios,Activo
PRO176,Imbabura,Activo
PRO177,Manabi,Inactivo
PRO178,Morona,Inactivo
PRO179,El Oro,Inactivo
PRO180,Bolivar,Inactivo
PRO181,Loja,Inactivo
PRO182,SantoDomingo,Inactivo
PRO183,Bolivar,Inactivo
PRO184,Napo,Inactivo
PRO185,Loja,Inactivo
PRO186,Cotopaxi,Inactivo
PRO187,Zamora,Inactivo
PRO188,Imbabura,Activo
PRO189,Orellana,Inactivo
PRO190,Azuay,Activo
PRO191,Bolivar,Activo
PRO192,Zamora,Activo
PRO193,Los Rios,Activo
PRO194,Loja,Activo
PRO195,Morona,Inactivo
PRO196,El Oro,Inactivo
PRO197,SantaElena,Activo
PRO198,Napo,Activo
PRO199,Loja,Inactivo
PRO200,Azuay,Inactivo
PRO201,Galapagos,Activo
PRO202,SantoDomingo,Activo
PRO203,Napo,Inactivo
PRO204,Loja,Activo
PRO205,Galapagos,Activo
PRO206,SantaElena,Activo
PRO207,Guayas,Inactivo
PRO208,Pastaza,Inactivo
PRO209,Los Rios,Activo
PRO210,Napo,Inactivo
PRO211,Esmeraldas,Inactivo
PRO212,Zamora,Activo
PRO213,Bolivar,Activo
PRO214,SantoDomingo,Inactivo
PRO215,Guayas,Inactivo
PRO216,Los Rios,Activo
PRO217,Los Rios,Inactivo
PRO218,Bolivar,Inactivo
PRO219,Napo,Inactivo
PRO220,SantaElena,Activo
PRO221,SantoDomingo,Inactivo
PRO222,Loja,Inactivo
PRO223,Orellana,Activo
PRO224,Cañar,Inactivo
PRO225,Chimborazo,Activo
PRO226,Carchi,Activo
PRO227,Cañar,Activo
PRO228,Los Rios,Inactivo
PRO229,Morona,Inactivo
PRO230,Los Rios,Inactivo
PRO231,Chimborazo,Inactivo
PRO232,SantaElena,Inactivo
PRO233,Sucumbios,Inactivo
PRO234,Manabi,Inactivo
PRO235,Esmeraldas,Activo
PRO236,Loja,Activo
