CA01,Cuenca,Activo,PRO01
CA02,Quito,Activo,PRO02
CA03,Guayaquil,Activo,PRO03
CA04,Loja,Activo,PRO04
CA05,Esmeraldas, Inactivo,PRO05
CA06,Cuenca, Inactivo,PRO06
CA07,Esmeraldas, Inactivo,PRO07
CA08,Esmeraldas,Activo,PRO08
CA09,Chinchipe,Activo,PRO09
CA10,Quito,Activo,PRO10
CA11,Quito,Activo,PRO11
CA12,Quito,Activo,PRO12
CA13,Cuenca, Inactivo,PRO13
CA14,Esmeraldas,Activo,PRO14
CA15,Quito,Activo,PRO15
CA16,Chinchipe, Inactivo,PRO16
CA17,Cuenca, Inactivo,PRO17
CA18,Quito,Activo,PRO18
CA19,Guayaquil, Inactivo,PRO19
CA20,Cuenca,Activo,PRO20
CA21,Chinchipe,Activo,PRO21
CA22,Chinchipe,Activo,PRO22
CA23,Chinchipe,Activo,PRO23
CA24,Loja,Activo,PRO24
CA25,Chinchipe,Activo,PRO25
CA26,Quito,Activo,PRO26
CA27,Chinchipe, Inactivo,PRO27
CA28,Quito, Inactivo,PRO28
CA29,Loja,Activo,PRO29
CA30,Guayaquil,Activo,PRO30
CA31,Cuenca,Activo,PRO31
CA32,Loja, Inactivo,PRO32
CA33,Cuenca, Inactivo,PRO33
CA34,Cuenca, Inactivo,PRO34
CA35,Cuenca,Activo,PRO35
CA36,Chinchipe,Activo,PRO36
CA37,Quito, Inactivo,PRO37
CA38,Esmeraldas,Activo,PRO38
CA39,Guayaquil,Activo,PRO39
CA40,Guayaquil, Inactivo,PRO40
CA41,Chinchipe,Activo,PRO41
CA42,Guayaquil, Inactivo,PRO42
CA43,Guayaquil,Activo,PRO43
CA44,Quito, Inactivo,PRO44
CA45,Esmeraldas, Inactivo,PRO45
CA46,Quito,Activo,PRO46
CA47,Quito,Activo,PRO47
CA48,Guayaquil, Inactivo,PRO48
CA49,Guayaquil, Inactivo,PRO49
CA50,Loja,Activo,PRO50
CA51,Cuenca, Inactivo,PRO51
CA52,Guayaquil,Activo,PRO52
CA53,Loja,Activo,PRO53
CA54,Loja,Activo,PRO54
CA55,Chinchipe, Inactivo,PRO55
CA56,Chinchipe, Inactivo,PRO56
CA57,Guayaquil,Activo,PRO57
CA58,Loja, Inactivo,PRO58
CA59,Guayaquil,Activo,PRO59
CA60,Quito, Inactivo,PRO60
CA61,Cuenca,Activo,PRO61
CA62,Chinchipe, Inactivo,PRO62
CA63,Quito, Inactivo,PRO63
CA64,Guayaquil, Inactivo,PRO64
CA65,Quito,Activo,PRO65
CA66,Guayaquil,Activo,PRO66
CA67,Esmeraldas,Activo,PRO67
CA68,Quito,Activo,PRO68
CA69,Quito,Activo,PRO69
CA70,Cuenca, Inactivo,PRO70
CA71,Quito,Activo,PRO71
CA72,Loja,Activo,PRO72
CA73,Loja, Inactivo,PRO73
CA74,Chinchipe,Activo,PRO74
CA75,Cuenca, Inactivo,PRO75
CA76,Guayaquil, Inactivo,PRO76
CA77,Quito,Activo,PRO77
CA78,Cuenca, Inactivo,PRO78
CA79,Quito,Activo,PRO79
CA80,Esmeraldas,Activo,PRO80
CA81,Cuenca, Inactivo,PRO81
CA82,Cuenca,Activo,PRO82
CA83,Esmeraldas, Inactivo,PRO83
CA84,Guayaquil, Inactivo,PRO84
CA85,Chinchipe, Inactivo,PRO85
CA86,Quito, Inactivo,PRO86
CA87,Cuenca, Inactivo,PRO87
CA88,Quito, Inactivo,PRO88
CA89,Chinchipe,Activo,PRO89
CA90,Guayaquil, Inactivo,PRO90
CA91,Guayaquil, Inactivo,PRO91
CA92,Cuenca,Activo,PRO92
CA93,Quito,Activo,PRO93
CA94,Chinchipe,Activo,PRO94
CA95,Cuenca, Inactivo,PRO95
CA96,Cuenca,Activo,PRO96
CA97,Guayaquil, Inactivo,PRO97
CA98,Guayaquil, Inactivo,PRO98
CA99,Chinchipe, Inactivo,PRO99
CA100,Guayaquil,Activo,PRO100
CA101,Esmeraldas,Activo,PRO101
CA102,Guayaquil, Inactivo,PRO102
CA103,Quito,Activo,PRO103
CA104,Quito,Activo,PRO104
CA105,Guayaquil,Activo,PRO105
CA106,Guayaquil, Inactivo,PRO106
CA107,Quito,Activo,PRO107
CA108,Loja,Activo,PRO108
CA109,Loja,Activo,PRO109
CA110,Esmeraldas, Inactivo,PRO110
CA111,Cuenca,Activo,PRO111
CA112,Guayaquil, Inactivo,PRO112
CA113,Quito, Inactivo,PRO113
CA114,Chinchipe, Inactivo,PRO114
CA115,Chinchipe,Activo,PRO115
CA116,Guayaquil,Activo,PRO116
CA117,Chinchipe, Inactivo,PRO117
CA118,Guayaquil,Activo,PRO118
CA119,Chinchipe, Inactivo,PRO119
CA120,Quito, Inactivo,PRO120
CA121,Esmeraldas, Inactivo,PRO121
CA122,Guayaquil, Inactivo,PRO122
CA123,Guayaquil,Activo,PRO123
CA124,Chinchipe, Inactivo,PRO124
CA125,Quito, Inactivo,PRO125
CA126,Guayaquil, Inactivo,PRO126
CA127,Esmeraldas,Activo,PRO127
CA128,Cuenca,Activo,PRO128
CA129,Chinchipe, Inactivo,PRO129
CA130,Chinchipe,Activo,PRO130
CA131,Cuenca, Inactivo,PRO131
CA132,Cuenca, Inactivo,PRO132
CA133,Cuenca, Inactivo,PRO133
CA134,Quito,Activo,PRO134
CA135,Loja,Activo,PRO135
CA136,Chinchipe,Activo,PRO136
CA137,Loja,Activo,PRO137
CA138,Guayaquil, Inactivo,PRO138
CA139,Chinchipe,Activo,PRO139
CA140,Quito, Inactivo,PRO140
CA141,Quito, Inactivo,PRO141
CA142,Loja,Activo,PRO142
CA143,Quito,Activo,PRO143
CA144,Cuenca,Activo,PRO144
CA145,Quito,Activo,PRO145
CA146,Chinchipe,Activo,PRO146
CA147,Cuenca, Inactivo,PRO147
CA148,Guayaquil,Activo,PRO148
CA149,Chinchipe, Inactivo,PRO149
CA150,Cuenca,Activo,PRO150
CA151,Guayaquil,Activo,PRO151
CA152,Cuenca,Activo,PRO152
CA153,Cuenca,Activo,PRO153
CA154,Guayaquil,Activo,PRO154
CA155,Chinchipe,Activo,PRO155
CA156,Loja, Inactivo,PRO156
CA157,Guayaquil, Inactivo,PRO157
CA158,Chinchipe,Activo,PRO158
CA159,Guayaquil,Activo,PRO159
CA160,Loja,Activo,PRO160
CA161,Quito, Inactivo,PRO161
CA162,Cuenca, Inactivo,PRO162
CA163,Guayaquil, Inactivo,PRO163
CA164,Chinchipe,Activo,PRO164
CA165,Cuenca,Activo,PRO165
CA166,Cuenca, Inactivo,PRO166
CA167,Chinchipe, Inactivo,PRO167
CA168,Esmeraldas,Activo,PRO168
CA169,Chinchipe,Activo,PRO169
CA170,Loja,Activo,PRO170
CA171,Loja,Activo,PRO171
CA172,Guayaquil, Inactivo,PRO172
CA173,Guayaquil, Inactivo,PRO173
CA174,Guayaquil,Activo,PRO174
CA175,Quito, Inactivo,PRO175
CA176,Cuenca,Activo,PRO176
CA177,Esmeraldas,Activo,PRO177
CA178,Quito,Activo,PRO178
CA179,Guayaquil, Inactivo,PRO179
CA180,Chinchipe, Inactivo,PRO180
CA181,Chinchipe, Inactivo,PRO181
CA182,Loja, Inactivo,PRO182
CA183,Cuenca, Inactivo,PRO183
CA184,Chinchipe, Inactivo,PRO184
CA185,Chinchipe,Activo,PRO185
CA186,Chinchipe,Activo,PRO186
CA187,Quito, Inactivo,PRO187
CA188,Quito, Inactivo,PRO188
CA189,Esmeraldas,Activo,PRO189
CA190,Quito, Inactivo,PRO190
CA191,Esmeraldas,Activo,PRO191
CA192,Quito,Activo,PRO192
CA193,Chinchipe, Inactivo,PRO193
CA194,Loja,Activo,PRO194
CA195,Quito,Activo,PRO195
CA196,Guayaquil, Inactivo,PRO196
CA197,Cuenca,Activo,PRO197
CA198,Guayaquil, Inactivo,PRO198
CA199,Quito,Activo,PRO199
CA200,Cuenca,Activo,PRO200
CA201,Chinchipe,Activo,PRO201
CA202,Guayaquil, Inactivo,PRO202
CA203,Quito,Activo,PRO203
CA204,Cuenca,Activo,PRO204
CA205,Chinchipe, Inactivo,PRO205
CA206,Quito, Inactivo,PRO206
CA207,Guayaquil,Activo,PRO207
CA208,Loja, Inactivo,PRO208
CA209,Quito, Inactivo,PRO209
CA210,Esmeraldas,Activo,PRO210
CA211,Guayaquil, Inactivo,PRO211
CA212,Guayaquil, Inactivo,PRO212
CA213,Loja, Inactivo,PRO213
CA214,Esmeraldas, Inactivo,PRO214
CA215,Cuenca, Inactivo,PRO215
CA216,Quito, Inactivo,PRO216
CA217,Esmeraldas, Inactivo,PRO217
CA218,Cuenca,Activo,PRO218
CA219,Quito, Inactivo,PRO219
CA220,Chinchipe,Activo,PRO220
CA221,Guayaquil,Activo,PRO221
CA222,Esmeraldas,Activo,PRO222
CA223,Quito, Inactivo,PRO223
CA224,Cuenca,Activo,PRO224
CA225,Loja,Activo,PRO225
CA226,Guayaquil,Activo,PRO226
CA227,Guayaquil, Inactivo,PRO227
CA228,Cuenca, Inactivo,PRO228
CA229,Esmeraldas, Inactivo,PRO229
CA230,Cuenca, Inactivo,PRO230
CA231,Chinchipe,Activo,PRO231
CA232,Loja,Activo,PRO232
CA233,Cuenca, Inactivo,PRO233
